,score,species,raw_position,strand,align_position,motif
13486,0.8644579648971558,VT63975|0|MEMB002A|-|1327,0,positive,21,eve_new6.fm
13487,-5.396069526672363,VT63975|0|MEMB002A|-|1327,0,negative,21,eve_new6.fm
13488,-2.457470178604126,VT63975|0|MEMB002A|-|1327,1,positive,22,eve_new6.fm
13489,-2.457470178604126,VT63975|0|MEMB002A|-|1327,1,negative,22,eve_new6.fm
13490,-1.074141502380371,VT63975|0|MEMB002A|-|1327,2,positive,23,eve_new6.fm
13491,-2.6591038703918457,VT63975|0|MEMB002A|-|1327,2,negative,23,eve_new6.fm
13492,-6.981031894683838,VT63975|0|MEMB002A|-|1327,3,positive,24,eve_new6.fm
13493,1.0019614696502686,VT63975|0|MEMB002A|-|1327,3,negative,24,eve_new6.fm
13494,2.44942045211792,VT63975|0|MEMB002A|-|1327,4,positive,25,eve_new6.fm
13495,-6.981031894683838,VT63975|0|MEMB002A|-|1327,4,negative,25,eve_new6.fm
13496,-6.981031894683838,VT63975|0|MEMB002A|-|1327,5,positive,26,eve_new6.fm
13497,1.0019614696502686,VT63975|0|MEMB002A|-|1327,5,negative,26,eve_new6.fm
13498,2.44942045211792,VT63975|0|MEMB002A|-|1327,6,positive,27,eve_new6.fm
13499,-6.981031894683838,VT63975|0|MEMB002A|-|1327,6,negative,27,eve_new6.fm
13500,-2.5216004848480225,VT63975|0|MEMB002A|-|1327,7,positive,28,eve_new6.fm
13501,-3.5216004848480225,VT63975|0|MEMB002A|-|1327,7,negative,28,eve_new6.fm
13502,2.44942045211792,VT63975|0|MEMB002A|-|1327,8,positive,29,eve_new6.fm
13503,-5.396069526672363,VT63975|0|MEMB002A|-|1327,8,negative,29,eve_new6.fm
13504,-6.981031894683838,VT63975|0|MEMB002A|-|1327,9,positive,30,eve_new6.fm
13505,2.0019614696502686,VT63975|0|MEMB002A|-|1327,9,negative,30,eve_new6.fm
13506,-1.074141502380371,VT63975|0|MEMB002A|-|1327,10,positive,31,eve_new6.fm
13507,-2.6591038703918457,VT63975|0|MEMB002A|-|1327,10,negative,31,eve_new6.fm
13508,-6.981031894683838,VT63975|0|MEMB002A|-|1327,11,positive,32,eve_new6.fm
13509,1.0019614696502686,VT63975|0|MEMB002A|-|1327,11,negative,32,eve_new6.fm
13510,2.44942045211792,VT63975|0|MEMB002A|-|1327,12,positive,33,eve_new6.fm
13511,-6.981031894683838,VT63975|0|MEMB002A|-|1327,12,negative,33,eve_new6.fm
13512,-2.6591038703918457,VT63975|0|MEMB002A|-|1327,13,positive,34,eve_new6.fm
13513,-2.5216004848480225,VT63975|0|MEMB002A|-|1327,13,negative,34,eve_new6.fm
13514,3.5869240760803223,VT63975|0|MEMB002A|-|1327,14,positive,35,eve_new6.fm
13515,-7.981031894683838,VT63975|0|MEMB002A|-|1327,14,negative,35,eve_new6.fm
13516,-6.396069526672363,VT63975|0|MEMB002A|-|1327,15,positive,36,eve_new6.fm
