,score,species,raw_position,strand,align_position,motif
16980,-5.140227317810059,VT63724|0|MEMB002A|-|349,0,positive,2,bcd_FlyReg.fm
16981,0.9405902028083801,VT63724|0|MEMB002A|-|349,0,negative,2,bcd_FlyReg.fm
16982,-0.9307739734649658,VT63724|0|MEMB002A|-|349,1,positive,3,bcd_FlyReg.fm
16983,1.046299695968628,VT63724|0|MEMB002A|-|349,1,negative,3,bcd_FlyReg.fm
16984,0.06922604143619537,VT63724|0|MEMB002A|-|349,2,positive,4,bcd_FlyReg.fm
16985,-0.9537003636360168,VT63724|0|MEMB002A|-|349,2,negative,4,bcd_FlyReg.fm
16986,-4.201627731323242,VT63724|0|MEMB002A|-|349,3,positive,5,bcd_FlyReg.fm
16987,-2.1938083171844482,VT63724|0|MEMB002A|-|349,3,negative,5,bcd_FlyReg.fm
16988,-1.3458114862442017,VT63724|0|MEMB002A|-|349,4,positive,6,bcd_FlyReg.fm
16989,-0.9537003636360168,VT63724|0|MEMB002A|-|349,4,negative,6,bcd_FlyReg.fm
16990,-8.555264472961426,VT63724|0|MEMB002A|-|349,5,positive,7,bcd_FlyReg.fm
16991,-5.403261661529541,VT63724|0|MEMB002A|-|349,5,negative,7,bcd_FlyReg.fm
16992,0.10770019143819809,VT63724|0|MEMB002A|-|349,6,positive,8,bcd_FlyReg.fm
16993,2.3556277751922607,VT63724|0|MEMB002A|-|349,6,negative,8,bcd_FlyReg.fm
16994,-3.3073372840881348,VT63724|0|MEMB002A|-|349,7,positive,9,bcd_FlyReg.fm
16995,-4.140227317810059,VT63724|0|MEMB002A|-|349,7,negative,9,bcd_FlyReg.fm
16996,-0.8922998309135437,VT63724|0|MEMB002A|-|349,8,positive,11,bcd_FlyReg.fm
16997,-4.155333995819092,VT63724|0|MEMB002A|-|349,8,negative,11,bcd_FlyReg.fm
16998,-3.155334234237671,VT63724|0|MEMB002A|-|349,9,positive,12,bcd_FlyReg.fm
16999,-4.307337284088135,VT63724|0|MEMB002A|-|349,9,negative,12,bcd_FlyReg.fm
17000,-4.155333995819092,VT63724|0|MEMB002A|-|349,10,positive,13,bcd_FlyReg.fm
17001,-3.1402273178100586,VT63724|0|MEMB002A|-|349,10,negative,13,bcd_FlyReg.fm
17002,0.10770019143819809,VT63724|0|MEMB002A|-|349,11,positive,14,bcd_FlyReg.fm
17003,-1.892299771308899,VT63724|0|MEMB002A|-|349,11,negative,14,bcd_FlyReg.fm
17004,3.294227123260498,VT63724|0|MEMB002A|-|349,12,positive,15,bcd_FlyReg.fm
17005,-0.9307739734649658,VT63724|0|MEMB002A|-|349,12,negative,15,bcd_FlyReg.fm
17006,-3.155334234237671,VT63724|0|MEMB002A|-|349,13,positive,16,bcd_FlyReg.fm
